order_id,customer_id,product,amount,order_date,status
O001,C001,Laptop,75000,2023-02-10,completed
O002,C002,Smartphone,25000,10/02/2023,Done
O003,C003,Tablet,18000,2023-02-15,pending
O004,C004,Headphones,3500,15-02-2023,Completed
O005,C005,Laptop,82000,2023-03-01,cancelled
O006,C006,Smartwatch,12000,01/03/2023,completed
O007,C007,Keyboard,2500,2023-03-10,PENDING
O008,C008,Mouse,1200,10-03-2023,completed
O009,C009,Monitor,22000,2023-03-20,refunded
O010,C010,Laptop,78000,20/03/2023,Canceled
O011,C011,Smartphone,30000,2023-04-05,completed
O012,C012,Tablet,15000,05-04-2023,done
O013,C013,Headphones,4200,2023-04-12,pending
O014,C014,Smartwatch,14000,12/04/2023,completed
O015,C015,Keyboard,3000,2023-04-22,CANCELLED
O016,C016,Mouse,1500,22-04-2023,completed
O017,C017,Monitor,25000,2023-05-03,refunded
O018,C018,Laptop,90000,03/05/2023,completed
O019,C019,Smartphone,22000,2023-05-18,Pending
O020,C020,Tablet,,18/05/2023,completed
O021,C021,Headphones,3800,2023-06-02,done
O022,C022,Smartwatch,11000,02-06-2023,completed
O023,C023,Keyboard,2800,2023-06-15,cancelled
O024,C024,Mouse,1300,15/06/2023,completed
O025,C025,Monitor,28000,2023-06-28,PENDING
O026,C026,Laptop,68000,28-06-2023,completed
O027,C027,Smartphone,27000,2023-07-10,Canceled
O028,C028,Tablet,16000,10/07/2023,completed
O029,C029,Headphones,,2023-07-22,done
O030,C030,Smartwatch,13000,22-07-2023,refunded
O031,C031,Keyboard,2700,2023-08-05,completed
O032,C032,Mouse,1100,05/08/2023,COMPLETED
O033,C033,Monitor,21000,2023-08-18,pending
O034,C034,Laptop,72000,18-08-2023,completed
O035,C035,Smartphone,28000,2023-09-02,done
O036,C036,Tablet,17000,02/09/2023,cancelled
O037,C037,Headphones,4000,2023-09-15,completed
O038,C038,Smartwatch,15000,15-09-2023,Pending
O039,C039,Keyboard,2600,2023-09-28,completed
O040,C040,Mouse,,28/09/2023,refunded
O041,C041,Monitor,23000,2023-10-10,completed
O042,C042,Laptop,85000,10-10-2023,done
O043,C043,Smartphone,24000,2023-10-25,CANCELLED
O044,C044,Tablet,19000,25/10/2023,completed
O045,C045,Headphones,3600,2023-11-08,pending
O046,C046,Smartwatch,12500,08-11-2023,completed
O047,C047,Keyboard,3100,2023-11-20,Canceled
O048,C048,Mouse,1400,20/11/2023,completed
O049,C049,Monitor,26000,2023-12-03,done
O050,C050,Laptop,77000,03-12-2023,completed
O051,C051,Smartphone,29000,2024-01-08,refunded
O052,C052,Tablet,,08/01/2024,completed
O053,C053,Headphones,4500,2024-01-22,done
O054,C054,Smartwatch,13500,22-01-2024,completed
O055,C055,Keyboard,2900,2024-02-05,PENDING
O056,C056,Mouse,1600,05/02/2024,completed
O057,C057,Monitor,24000,2024-02-18,cancelled
O058,C058,Laptop,91000,18-02-2024,completed
O059,C059,Smartphone,26000,2024-03-05,done
O060,C060,Tablet,20000,05/03/2024,completed
O061,C061,Headphones,3900,2024-03-18,Pending
O062,C062,Smartwatch,14500,18-03-2024,completed
O063,C063,Keyboard,,2024-04-01,refunded
O064,C064,Mouse,1700,01/04/2024,completed
O065,C065,Monitor,27000,2024-04-15,done
O066,C066,Laptop,80000,15-04-2024,completed
O067,C067,Smartphone,31000,2024-05-01,CANCELLED
O068,C068,Tablet,18500,01/05/2024,completed
O069,C069,Headphones,4100,2024-05-14,Canceled
O070,C070,Smartwatch,16000,14-05-2024,completed
O071,C071,Keyboard,3200,2024-05-28,done
O072,C072,Mouse,,28/05/2024,completed
O073,C073,Monitor,29000,2024-06-10,pending
O074,C074,Laptop,88000,10-06-2024,completed
O075,C075,Smartphone,32000,2024-06-25,done
O076,C001,Tablet,21000,25/06/2024,completed
O077,C010,Headphones,4300,2024-07-08,PENDING
O078,C020,Smartwatch,17000,08-07-2024,completed
O079,C030,Keyboard,3400,2024-07-22,done
O080,,Monitor,26500,22/07/2024,completed
