order_id,customer_id,product,amount,order_date,status,order_year_month
O001,C001,Laptop,75000.0,2023-02-10,completed,2023-02
O002,C002,Smartphone,25000.0,2023-02-10,completed,2023-02
O003,C003,Tablet,18000.0,2023-02-15,pending,2023-02
O004,C004,Headphones,3500.0,2023-02-15,completed,2023-02
O005,C005,Laptop,82000.0,2023-03-01,cancelled,2023-03
O006,C006,Smartwatch,12000.0,2023-03-01,completed,2023-03
O007,C007,Keyboard,2500.0,2023-03-10,pending,2023-03
O008,C008,Mouse,1200.0,2023-10-03,completed,2023-10
O009,C009,Monitor,22000.0,2023-03-20,refunded,2023-03
O010,C010,Laptop,78000.0,2023-03-20,cancelled,2023-03
O011,C011,Smartphone,30000.0,2023-04-05,completed,2023-04
O012,C012,Tablet,15000.0,2023-05-04,completed,2023-05
O013,C013,Headphones,4200.0,2023-04-12,pending,2023-04
O014,C014,Smartwatch,14000.0,2023-04-12,completed,2023-04
O015,C015,Keyboard,3000.0,2023-04-22,cancelled,2023-04
O016,C016,Mouse,1500.0,2023-04-22,completed,2023-04
O017,C017,Monitor,25000.0,2023-05-03,refunded,2023-05
O018,C018,Laptop,90000.0,2023-05-03,completed,2023-05
O019,C019,Smartphone,22000.0,2023-05-18,pending,2023-05
O020,C020,Tablet,18250.0,2023-05-18,completed,2023-05
O021,C021,Headphones,3800.0,2023-06-02,completed,2023-06
O022,C022,Smartwatch,11000.0,2023-02-06,completed,2023-02
O023,C023,Keyboard,2800.0,2023-06-15,cancelled,2023-06
O024,C024,Mouse,1300.0,2023-06-15,completed,2023-06
O025,C025,Monitor,28000.0,2023-06-28,pending,2023-06
O026,C026,Laptop,68000.0,2023-06-28,completed,2023-06
O027,C027,Smartphone,27000.0,2023-07-10,cancelled,2023-07
O028,C028,Tablet,16000.0,2023-07-10,completed,2023-07
O029,C029,Headphones,4000.0,2023-07-22,completed,2023-07
O030,C030,Smartwatch,13000.0,2023-07-22,refunded,2023-07
O031,C031,Keyboard,2700.0,2023-08-05,completed,2023-08
O032,C032,Mouse,1100.0,2023-08-05,completed,2023-08
O033,C033,Monitor,21000.0,2023-08-18,pending,2023-08
O034,C034,Laptop,72000.0,2023-08-18,completed,2023-08
O035,C035,Smartphone,28000.0,2023-09-02,completed,2023-09
O036,C036,Tablet,17000.0,2023-09-02,cancelled,2023-09
O037,C037,Headphones,4000.0,2023-09-15,completed,2023-09
O038,C038,Smartwatch,15000.0,2023-09-15,pending,2023-09
O039,C039,Keyboard,2600.0,2023-09-28,completed,2023-09
O040,C040,Mouse,1400.0,2023-09-28,refunded,2023-09
O041,C041,Monitor,23000.0,2023-10-10,completed,2023-10
O042,C042,Laptop,85000.0,2023-10-10,completed,2023-10
O043,C043,Smartphone,24000.0,2023-10-25,cancelled,2023-10
O044,C044,Tablet,19000.0,2023-10-25,completed,2023-10
O045,C045,Headphones,3600.0,2023-11-08,pending,2023-11
O046,C046,Smartwatch,12500.0,2023-08-11,completed,2023-08
O047,C047,Keyboard,3100.0,2023-11-20,cancelled,2023-11
O048,C048,Mouse,1400.0,2023-11-20,completed,2023-11
O049,C049,Monitor,26000.0,2023-12-03,completed,2023-12
O050,C050,Laptop,77000.0,2023-03-12,completed,2023-03
O051,C051,Smartphone,29000.0,2024-01-08,refunded,2024-01
O052,C052,Tablet,18250.0,2024-01-08,completed,2024-01
O053,C053,Headphones,4500.0,2024-01-22,completed,2024-01
O054,C054,Smartwatch,13500.0,2024-01-22,completed,2024-01
O055,C055,Keyboard,2900.0,2024-02-05,pending,2024-02
O056,C056,Mouse,1600.0,2024-02-05,completed,2024-02
O057,C057,Monitor,24000.0,2024-02-18,cancelled,2024-02
O058,C058,Laptop,91000.0,2024-02-18,completed,2024-02
O059,C059,Smartphone,26000.0,2024-03-05,completed,2024-03
O060,C060,Tablet,20000.0,2024-03-05,completed,2024-03
O061,C061,Headphones,3900.0,2024-03-18,pending,2024-03
O062,C062,Smartwatch,14500.0,2024-03-18,completed,2024-03
O063,C063,Keyboard,2900.0,2024-04-01,refunded,2024-04
O064,C064,Mouse,1700.0,2024-04-01,completed,2024-04
O065,C065,Monitor,27000.0,2024-04-15,completed,2024-04
O066,C066,Laptop,80000.0,2024-04-15,completed,2024-04
O067,C067,Smartphone,31000.0,2024-05-01,cancelled,2024-05
O068,C068,Tablet,18500.0,2024-05-01,completed,2024-05
O069,C069,Headphones,4100.0,2024-05-14,cancelled,2024-05
O070,C070,Smartwatch,16000.0,2024-05-14,completed,2024-05
O071,C071,Keyboard,3200.0,2024-05-28,completed,2024-05
O072,C072,Mouse,1400.0,2024-05-28,completed,2024-05
O073,C073,Monitor,29000.0,2024-06-10,pending,2024-06
O074,C074,Laptop,88000.0,2024-10-06,completed,2024-10
O075,C075,Smartphone,32000.0,2024-06-25,completed,2024-06
O076,C001,Tablet,21000.0,2024-06-25,completed,2024-06
O077,C010,Headphones,4300.0,2024-07-08,pending,2024-07
O078,C020,Smartwatch,17000.0,2024-08-07,completed,2024-08
O079,C030,Keyboard,3400.0,2024-07-22,completed,2024-07
O080,,Monitor,26500.0,2024-07-22,completed,2024-07
